date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:20	108349/108349	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:16%20GMT	https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=22581	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/9/indexbd79.html	(from https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:22	108166/108166	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:19%20GMT	https://www.train-motion.com/shop/page/8/?filter_operator=cd&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/8/index5ad1.html	(from https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:24	108225/108225	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:21%20GMT	https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=22536	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/10/index8ae4.html	(from https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:26	108221/108221	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:22%20GMT	https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=22502	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/10/index0932.html	(from https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:28	104506/104506	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:24%20GMT	https://www.train-motion.com/shop/page/11/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=21788	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/11/indexed7d.html	(from https://www.train-motion.com/shop/page/11/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:30	101089/101089	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:26%20GMT	https://www.train-motion.com/shop/page/6/	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/6/index.html	(from https://www.train-motion.com/shop/page/5/?filter_operator=cd)
12:31:32	107765/107765	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:28%20GMT	https://www.train-motion.com/shop/page/5/?filter_operator=cd&add-to-cart=24245	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/5/index8c40.html	(from https://www.train-motion.com/shop/page/5/?filter_operator=cd)
12:31:34	107768/107768	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:30%20GMT	https://www.train-motion.com/shop/page/5/?filter_operator=cd&add-to-cart=24217	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/5/index4cac.html	(from https://www.train-motion.com/shop/page/5/?filter_operator=cd)
12:31:36	100505/100505	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:32%20GMT	https://www.train-motion.com/shop/page/7/	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/7/index.html	(from https://www.train-motion.com/shop/page/6/?filter_operator=cd)
12:31:38	107750/107750	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:34%20GMT	https://www.train-motion.com/shop/page/6/?filter_operator=cd&add-to-cart=24189	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/6/indexb06e.html	(from https://www.train-motion.com/shop/page/6/?filter_operator=cd)
12:31:39	107750/107750	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:35%20GMT	https://www.train-motion.com/shop/page/6/?filter_operator=cd&add-to-cart=24161	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/6/index4efd.html	(from https://www.train-motion.com/shop/page/6/?filter_operator=cd)
12:31:41	107742/107742	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:37%20GMT	https://www.train-motion.com/shop/page/7/?filter_operator=cd&add-to-cart=24112	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/7/index3086.html	(from https://www.train-motion.com/shop/page/7/?filter_operator=cd)
12:31:43	107742/107742	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:40%20GMT	https://www.train-motion.com/shop/page/7/?filter_operator=cd&add-to-cart=24079	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/7/indexbda3.html	(from https://www.train-motion.com/shop/page/7/?filter_operator=cd)
12:31:46	107736/107736	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:42%20GMT	https://www.train-motion.com/shop/page/8/?filter_operator=cd&add-to-cart=24027	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/8/indexd899.html	(from https://www.train-motion.com/shop/page/8/?filter_operator=cd)
12:31:47	107732/107732	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:44%20GMT	https://www.train-motion.com/shop/page/8/?filter_operator=cd&add-to-cart=23986	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/8/index24d5.html	(from https://www.train-motion.com/shop/page/8/?filter_operator=cd)
12:31:50	109729/109729	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:46%20GMT	https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment&add-to-cart=24415	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/index9142.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:31:52	109725/109725	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:48%20GMT	https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment&add-to-cart=24428	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/index4d2f.html	(from https://www.train-motion.com/shop/?filter_manufacturer=bautzen-gorlitz&filter_operator=cd&source_id=154&source_tax=pa_operator&filter_traincar-type=compartiment)
12:31:53	2/2	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jul%202020%2010:30:51%20GMT	https://www.train-motion.com/shop/page/1/?filter_operator=cd&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/1/index5ad1.html	(from https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment)
